Quem é o professor responsável pela disciplina de Laboratório de Programação III?	Prof. Jefferson Passerini
Qual é o semestre típico da disciplina Laboratório de Programação III segundo o conteúdo?	3º Semestre
Qual é o tema da Aula 01 de Laboratório de Programação III?	Preparando o ambiente de desenvolvimento
Qual é o tema da Aula 02 de Laboratório de Programação III?	Criando um projeto web
Qual é o foco da Aula 03 de Laboratório de Programação III?	Estrutura do Projeto - Front-end
Qual é o assunto abordado na Aula 04 de Laboratório de Programação III?	Conexão com o Banco de Dados
Qual funcionalidade específica é desenvolvida na Aula 05?	Criando o Listar Usuário
Quais operações formam o acrônimo CRUD mencionado nas aulas de implementação?	Incluir, alterar e excluir
Quais são os atributos obrigatórios da entidade Livro no trabalho de programação em grupo?	id, nomeLivro, isbn, autor, dataPublicação e valorLivro
Qual é a plataforma sugerida para hospedar o código-fonte do trabalho de programação?	GitHub
Qual é o tamanho padrão dos grupos para a realização do trabalho de livros com servlets?	3 alunos
Qual é a data limite de entrega da Avaliação 1 (AV1) em 2026?	24/03/2026 às 23:30
Qual é a ferramenta utilizada para aplicar o questionário da Avaliação 1?	Google Forms
Na arquitetura em camadas apresentada no gabarito da AV1, qual classe armazena os dados em memória na camada de persistência?	AlunoRepository
Na arquitetura em camadas do gabarito da AV1, qual classe valida se já existe um aluno cadastrado com o mesmo RA?	AlunoService
Qual tipo de dado é utilizado para gerar identificadores únicos (IDs) na camada de serviço do exemplo em TypeScript?	randomUUID
Quais são os três componentes principais do padrão de arquitetura em camadas demonstrado no material de apoio?	Controller, Service e Repository
No trabalho prático com Servlets Java, qual entidade é utilizada para a manutenção do cadastro além de Usuário?	Livro
Qual tecnologia backend é citada no gabarito da AV1 para demonstrar o padrão de projeto em camadas (além de Java nas aulas)?	TypeScript (Node.js / Express)
Qual é a pontuação máxima padrão das avaliações e trabalhos práticos da disciplina?	100 pontos
Qual é o prazo de entrega da Avaliação Substitutiva informada no cronograma?	26/06/2026 às 02:59
