Qual é o nome do aplicativo móvel estudado na disciplina de Engenharia de Software I do Prof. Marcelo Boer?	Desapega Já
Qual é o objetivo principal do aplicativo Desapega Já?	Conectar vendedores e compradores da mesma região para facilitar a venda de produtos que não são mais utilizados
Quais são os principais tipos de produtos que o aplicativo Desapega Já visa comercializar?	Roupas, eletrônicos, móveis e livros
O aplicativo Desapega Já exige cadastro prévio para que um usuário possa anunciar um produto?	Não, o anúncio pode ser feito sem cadastro
Quais campos básicos o aplicativo solicita no cadastro do usuário?	Nome completo, e-mail, número de telefone (com WhatsApp), senha, cidade e estado
Quais dados adicionais podem ser solicitados no cadastro para aumentar a segurança das negociações?	CPF, data de nascimento e bairro
Quais informações o sistema deve gerar automaticamente no cadastro do usuário?	ID do usuário, data de cadastro, histórico de contatos/compras e avaliações recebidas
Quais são os pilares propostos pela utilização do aplicativo Desapega Já?	Reutilização de produtos, economia colaborativa e consumo consciente
Quais são os dois principais usuários (atores primários) definidos para o aplicativo Desapega Já?	Anunciante e Interessado (ou Cliente)
Quais atributos compõem a classe "Anuncio" no projeto?	Fotos, descrição, preço e categoria
Quais atributos compõem a classe "Categoria" no projeto?	Nome da categoria
Quais atributos compõem a classe "Interessado" (ou Anunciante)?	Nome completo, e-mail, telefone/WhatsApp, senha, cidade, estado, foto de perfil, CPF, data de nascimento e bairro
Quais atributos compõem a classe "Compra"?	Data da compra, valor da compra, produtos, interessado e anunciante
Quais atributos compõem a classe "Histórico de contatos"?	Interessado e anunciante
Cite dois exemplos de Requisitos Funcionais levantados para o aplicativo.	Facilitar a venda de produtos e Permitir anúncio de produtos (ou troca de mensagens)
Cite dois exemplos de Requisitos Não-Funcionais levantados para o projeto.	Fácil usabilidade e Segurança (além de prático, acessível e integridade de dados)
Qual ferramenta de modelagem UML foi disponibilizada em licença para a disciplina?	Astah UML
Quais são os casos de uso cuja descrição foi solicitada para desenvolvimento no projeto?	Logar, Cadastrar, Listar, Carregar, Alterar e Excluir
Qual é o pré-requisito fundamental para que um usuário execute o Caso de Uso de "Realizar Login"?	O usuário deve estar pré-cadastrado no aplicativo
O que o aplicativo exibe no fluxo alternativo do login caso o usuário informe um e-mail ou senha inválidos/não cadastrados?	Exibe uma mensagem de erro (ex: Usuário não cadastrado ou email/senha não informados)
Quais são os itens obrigatórios exigidos na primeira página da apresentação de Métodos de Engenharia de Software?	Nome da faculdade, curso, semestre, nome do método e nome dos alunos
O que deve constar obrigatoriamente logo abaixo de cada imagem ilustrativa das fases no trabalho de métodos de processo de software?	A fonte da mesma
Qual é a finalidade do documento ESM1 na disciplina do Prof. Marcelo Boer?	Apresentar o contexto e a modelagem inicial do sistema (como o processo de abstração do aplicativo)
