Qual é o nome do professor responsável pela disciplina Laboratório de Programação IV?	Prof. Jefferson Passerini
Qual é o nome da disciplina associada ao repositório suporteos2026?	Laboratório de Programação IV
Em qual semestre da grade curricular ocorre a disciplina Laboratório de Programação IV?	4º Semestre
Qual é a data de postagem do documento sobre o repositório suporteos2026?	13/08/2026
Qual é o nome do repositório oficial do GitHub para a disciplina do Prof. Jefferson Passerini em 2026?	suporteos2026
Qual é o usuário do GitHub do Prof. Jefferson Passerini?	jeffersonarpasserini
Qual é o caminho completo do repositório no GitHub (formato usuario/repositorio) para a disciplina?	jeffersonarpasserini/suporteos2026
Qual é a URL completa do repositório GitHub da disciplina Laboratório de Programação IV?	https://github.com/jeffersonarpasserini/suporteos2026
O repositório "suporteos2026" pertence a qual plataforma de hospedagem de código?	GitHub
Quem é o dono do repositório "jeffersonarpasserini/suporteos2026"?	Prof. Jefferson Passerini
A qual ano letivo o repositório "suporteos2026" faz referência em seu nome?	2026
Qual é o nome de usuário que precede "/suporteos2026" na URL do GitHub?	jeffersonarpasserini
Qual disciplina prática do 4º semestre é ministrada pelo Prof. Jefferson Passerini?	Laboratório de Programação IV
Em qual dia de agosto de 2026 foi publicado o post sobre o repositório suporteos2026?	13/08/2026
Qual é o sufixo numérico romano no nome da disciplina do Prof. Jefferson Passerini?	IV
Complete o link do GitHub da disciplina: https://github.com/jeffersonarpasserini/...	suporteos2026
O repositório "suporteos2026" serve de suporte para qual disciplina do Prof. Jefferson Passerini?	Laboratório de Programação IV
Qual é o nome do repositório indicado no arquivo "links-recursos.md"?	suporteos2026 (Prof. Jefferson Passerini)
Qual é o ano indicado no final do nome do repositório "suporteos2026"?	2026
Qual é o primeiro nome do professor de Laboratório de Programação IV?	Jefferson
Qual é o sobrenome do professor Jefferson da disciplina Laboratório de Programação IV?	Passerini
Qual é o nome de usuário completo do professor no GitHub?	jeffersonarpasserini
