Qual é a função da disciplina ministrada pelo Prof. Wesley Soares no 4º semestre?	Estrutura de Dados I
Qual é a formação acadêmica do Prof. Wesley Soares em termos de mestrado?	Mestrado em Engenharia de Software pela Universidade Federal do Pampa (UNIPAMPA)
Qual é o peso da avaliação e do trabalho na fórmula de nota da disciplina do Prof. Wesley Soares?	AV1 e AV2 com peso 8 e Trabalhos T1 e T2 com peso 2
O que é um algoritmo, segundo os fundamentos de Estrutura de Dados I?	Uma sequência finita e ordenada de passos para resolver um problema
Qual é a diferença conceitual entre um algoritmo e um programa?	O algoritmo é a solução conceitual independente de linguagem, enquanto o programa é a implementação dependente de linguagem
O que define um Tipo Abstrato de Dados (TAD)?	Quais dados existem, quais operações podem ser realizadas e qual o comportamento esperado, sem definir a implementação interna
Qual é a principal utilidade do encapsulamento em um TAD (Tipo Abstrato de Dados)?	Esconder a implementação interna e expor apenas a interface com as operações
O que representa a notação Big O (O) na análise de algoritmos?	A ordem de crescimento superior que o algoritmo não ultrapassa assintoticamente, ignorando constantes e termos de menor ordem
Qual é a complexidade temporal de acessar diretamente uma posição de um vetor pelo índice (ex: x = vetor[5])?	O(1) - Constante
Qual é a complexidade temporal típica de uma pesquisa sequencial em uma lista não ordenada de tamanho n?	O(N) - Linear
Quais estruturas de dados possuem comportamento típico quadrático O(n²) em algoritmos simples de ordenação como Bubble Sort e Selection Sort?	Algoritmos que utilizam laços (loops) aninhados sobre o tamanho n da entrada
Em Java, onde são armazenadas as variáveis locais e as chamadas de métodos?	Na Stack (Pilha)
Em Java, onde são armazenados os objetos e arrays criados dinamicamente com a palavra-chave `new`?	Na Heap
Qual é a função do Garbage Collector em linguagens como Java?	Identificar objetos que não podem mais ser alcançados pelo programa e liberar a memória associada a eles
O que acontece quando tentamos acessar um método ou propriedade de uma referência de objeto que aponta para `null` em Java?	O lançamento de uma exceção do tipo NullPointerException
Qual é a diferença fundamental entre uma lista sequencial (baseada em array) e uma lista ligada?	A lista sequencial armazena elementos em posições consecutivas de memória, enquanto a lista ligada conecta os elementos por meio de referências (nós)
Qual é a complexidade temporal para buscar um elemento por posição (índice) em uma lista sequencial baseada em array?	O(1) - Constante
Qual é a complexidade temporal para inserir um elemento no meio de uma lista sequencial, considerando que pode ser necessário deslocar elementos?	O(N) - Linear
Em uma lista sequencial, qual é a diferença entre capacidade e tamanho?	A capacidade é o limite máximo de armazenamento do array, e o tamanho é a quantidade de elementos atualmente armazenados na lista
Qual é a complexidade temporal para percorrer todos os elementos de uma lista sequencial ou ligada para exibi-los?	O(N) - Linear
