O que significa a sigla PID no contexto de gerenciamento de processos?	Process Identification Number (Número de Identificação do Processo)
O que é um PCB (Process Control Block)?	Bloco de controle de processo (ou descritor de processo), estrutura que mantém as informações necessárias para o SO gerenciar um processo.
Qual é a entidade responsável por designar o processador ao primeiro processo da lista de pronto?	Despachante
Qual é o nome do ato de designar um processador ao primeiro processo da lista de pronto?	Despacho
O que é o relógio de interrupção em hardware também conhecido como temporizador de intervalo?	Um dispositivo que define um intervalo de tempo específico (quantum) para a execução de um processo, evitando que ele monopolize o sistema.
O que é o quantum em um sistema operacional?	O intervalo de tempo específico alocado para a execução de um processo antes que o relógio de interrupção gere uma interrupção.
Quais são os estados de um processo considerado acordado?	Pronto e em execução
Quais são os estados de um processo considerado adormecido?	Bloqueado
O que acontece quando o quantum de um processo expira e ele não devolve o processador voluntariamente?	O relógio de interrupção gera uma interrupção, o SO obtém o controle e muda o estado do processo de execução para pronto.
Por que um processo se bloqueia a si mesmo?	Quando inicia uma operação de entrada/saída (E/S) antes de seu quantum expirar, entregando voluntariamente o processador para esperar a conclusão da E/S.
Qual é o único estado de transição iniciado pelo próprio processo de usuário?	O bloqueio
Quais transições de estado são disparadas pelo sistema operacional e não pelo usuário?	Despachar (pronto para execução), expiração de quantum (execução para pronto) e acordar (bloqueado para pronto).
O que armazena o Contexto de execução dentro do PCB?	O conteúdo dos registradores do processador no qual o processo estava executando da última vez que fez a transição de saída do estado de execução.
Qual é a função do chaveamento de contexto realizado pelo sistema operacional?	Interromper um processo em execução e começar a executar um processo previamente pronto, salvando e carregando contextos nos PCBs.
O que é uma interrupção síncrona?	Quando um processo tenta realizar uma ação ilegal ou se referir a uma localização de memória protegida.
O que é uma interrupção assíncrona?	Quando um dispositivo de hardware (como teclado ou mouse) muda de estado e comunica ao processador.
Qual abordagem antiga de baixo desempenho os sistemas orientados à interrupções eliminaram?	A sondagem (Polling), onde os processadores pesquisavam repetidamente o estado de cada dispositivo.
O que é um processo-pai e um processo-filho?	O processo gerador é o pai e o processo criado por ele é o filho, formando uma estrutura hierárquica.
O que envolve a destruição de um processo no sistema operacional?	Liberar o processador, a memória e outros dispositivos envolvidos.
O que é o tratado de interrupção?	Um conjunto de instruções especificado pelo SO para ser executado em resposta a cada tipo de interrupção.
O que é um Hipervisor Tipo 1 (Bare-Metal)?	Um hipervisor que executa diretamente sobre o hardware físico, funcionando como um SO minimalista especializado em VMs (ex: VMware ESXi, Proxmox, KVM).
O que é um Hipervisor Tipo 2 (Hosted)?	Um hipervisor que executa como uma aplicação convencional sobre um Sistema Operacional hospedeiro existente (ex: VirtualBox, VMware Workstation).
O que significa a sigla VMM no contexto de virtualização?	Virtual Machine Monitor (Monitor de Máquina Virtual)
Qual ferramenta foi utilizada no estudo prático para automação e gerenciamento de ambientes virtualizados (Infrastructure as Code)?	Vagrant
